competition_year,round_type_id,format_id,results,attempts,dnf_rate,dns_rate
2009,1,2,92,184,0.09782608695652174,0.010869565217391304
2009,1,3,30,90,0.044444444444444446,0.0
2009,1,a,7574,37870,0.032849221019276474,0.002006865592817534
2009,2,a,2798,13990,0.018727662616154397,0.00035739814152966406
2009,c,a,55,269,0.007434944237918215,0.3643122676579926
2009,d,3,81,215,0.04186046511627907,0.0
2009,d,a,545,2339,0.05301410859341599,0.004275331338178709
2009,f,a,1869,9345,0.016907437132156235,0.00042803638309256285
2010,0,a,198,990,0.03232323232323232,0.0
2010,1,3,45,135,0.044444444444444446,0.0
2010,1,a,10108,50540,0.03274633953304314,0.0015631183221210922
2010,2,a,4325,21625,0.020809248554913295,0.00018497109826589596
2010,3,a,32,160,0.00625,0.0
2010,d,a,726,3379,0.027818881325836046,0.004439183190292986
2010,f,a,2440,12200,0.020327868852459016,0.0004098360655737705
2011,1,1,114,114,0.008771929824561403,0.0
2011,1,3,119,357,0.04481792717086835,0.0
2011,1,a,12447,62235,0.030818671165742748,0.0013657909536434483
2011,2,1,32,32,0.0,0.0
2011,2,3,40,120,0.041666666666666664,0.0
2011,2,a,5428,27140,0.01930729550478998,0.0001105379513633014
2011,3,a,143,715,0.01818181818181818,0.0
2011,d,a,515,2439,0.024190241902419023,0.004510045100451004
2011,f,a,3309,16545,0.01928074947113932,0.00036264732547597464
2012,1,2,78,156,0.07051282051282051,0.0
2012,1,3,40,120,0.06666666666666667,0.0
2012,1,a,12804,64020,0.028366135582630427,0.0011871290221805687
2012,2,1,31,31,0.03225806451612903,0.0
2012,2,a,6450,32250,0.016155038759689922,0.00018604651162790697
2012,3,a,185,925,0.012972972972972972,0.001081081081081081
2012,d,a,939,3981,0.04295403165033911,0.0017583521728208992
2012,f,a,3289,16445,0.018668288233505626,0.001276983885679538
2013,0,a,34,170,0.011764705882352941,0.0
2013,1,a,16721,83605,0.031134501525028408,0.0008851145266431434
2013,2,1,29,29,0.0,0.0
2013,2,a,8417,42085,0.01786859926339551,0.0002613757870975407
2013,3,a,254,1270,0.010236220472440945,0.0
2013,d,a,1549,7136,0.04119955156950673,0.002242152466367713
2013,f,a,4228,21140,0.016887417218543047,9.46073793755913e-05
2014,1,3,94,282,0.02127659574468085,0.0
2014,1,a,23657,118285,0.031119753138605908,0.0010060447224922856
2014,2,1,32,32,0.0625,0.0
2014,2,a,11876,59380,0.018002694509936006,0.0005220613001010442
2014,3,a,583,2915,0.01680960548885077,0.0
2014,c,a,26,115,0.043478260869565216,0.0
2014,d,a,2983,13814,0.05168669465759375,0.0013754162443897495
2014,f,a,5712,28560,0.015896358543417366,0.00024509803921568627
2015,1,2,366,732,0.03825136612021858,0.00273224043715847
2015,1,3,122,366,0.030054644808743168,0.0
2015,1,a,30711,153555,0.026713555403601316,0.000742405001465273
2015,2,a,15031,75155,0.016153283214689642,0.0002395050229525647
2015,3,a,760,3800,0.018157894736842106,0.0
2015,d,a,3581,17395,0.03644725495832136,0.0014946823799942511
2015,f,2,12,24,0.0,0.0
2015,f,a,6991,34955,0.014876269489343442,0.00020025747389500786
2016,1,3,197,591,0.023688663282571912,0.00676818950930626
2016,1,a,43756,218780,0.026199835451138128,0.0010512843952829327
2016,2,a,21128,105640,0.015325634229458538,0.0002650511170011359
2016,3,a,1556,7780,0.015552699228791773,0.00038560411311053987
2016,d,a,3825,18588,0.03405422853453841,0.0011835592855605767
2016,f,3,6,18,0.05555555555555555,0.0
2016,f,a,8513,42565,0.014401503582755786,0.00021144132503230355
2017,1,a,64991,324955,0.025969749657644904,0.0007539505469988153
2017,2,1,24,24,0.0,0.0
2017,2,a,30948,154740,0.016375856275042008,0.0002520356727413726
2017,3,1,30,30,0.0,0.0
2017,3,a,2372,11860,0.014502529510961214,0.00042158516020236085
2017,c,a,30,150,0.02,0.0
2017,d,a,3948,19548,0.027880090034786167,0.0005115612850419481
2017,e,a,139,695,0.012949640287769784,0.0
2017,f,a,11160,55800,0.01546594982078853,0.00017921146953405018
2018,1,a,76602,383010,0.02601498655387588,0.0005613430458734759
2018,2,a,39065,195325,0.017084346601817485,0.00020478689363880712
2018,3,a,2735,13675,0.014478976234003656,0.0002193784277879342
2018,c,a,185,925,0.011891891891891892,0.0
2018,d,a,5893,29348,0.02112580073599564,0.00020444323292899004
2018,e,a,314,1570,0.01464968152866242,0.0
2018,f,a,13849,69245,0.014629215105783811,0.00018773918694490576
2019,1,a,87267,436335,0.02513206595849519,0.0005592033643874545
2019,2,a,44968,224840,0.01589574808752891,0.00014232342999466287
2019,3,a,2496,12480,0.011378205128205128,0.00016025641025641026
2019,c,a,8,40,0.0,0.0
2019,d,a,4173,20787,0.024197815942656468,9.621397989127821e-05
2019,e,a,54,270,0.007407407407407408,0.0
2019,f,a,15823,79115,0.014864437843645327,0.00025279656196675726
2020,1,a,14607,73035,0.024823714657356062,0.0007256794687478606
2020,2,a,7523,37615,0.015366210288448758,0.00045194736142496343
2020,3,a,415,2075,0.014457831325301205,0.0
2020,d,a,677,3364,0.017538644470868014,0.0
2020,f,a,3093,15465,0.014872292272874232,0.00012932428063368897
2021,1,a,13169,65845,0.022689649935454477,0.0002733692763307768
2021,2,a,5974,29870,0.014931369266822899,0.0002008704385671242
2021,3,a,197,985,0.014213197969543147,0.0
2021,d,a,372,1848,0.023809523809523808,0.0
2021,f,a,2599,12995,0.015082724124663332,0.00038476337052712584
2022,1,a,67284,336420,0.02291778134474764,0.00038344925985375424
2022,2,a,39120,195600,0.017183026584867075,0.00020449897750511248
2022,3,a,3478,17390,0.013225991949396205,0.00017251293847038527
2022,c,a,178,890,0.020224719101123594,0.0
2022,d,a,7564,37619,0.021345596639995745,0.00026582312129509023
2022,e,a,422,2110,0.017535545023696683,0.0
2022,f,a,14071,70355,0.013872503731078104,0.0003269135100561438
2023,1,a,127129,635645,0.02301756483571805,0.0004515098836614777
2023,2,a,75638,378190,0.01707607287342341,0.00021417805864776965
2023,3,a,7529,37645,0.01580555186611768,0.0003718953380262983
2023,c,a,672,3357,0.013404825737265416,0.0
2023,d,a,12666,63228,0.02165179983551591,0.0003004997785791105
2023,e,a,452,2260,0.016371681415929203,0.0008849557522123894
2023,f,a,28289,141445,0.015164905086782848,0.00039591360599526315
2024,1,a,140424,702120,0.021046259898592833,0.0004885204808294879
2024,2,a,82529,412645,0.016062232669728217,0.00018660107356202062
2024,3,a,8256,41280,0.014462209302325581,0.0001695736434108527
2024,c,a,614,3064,0.014033942558746737,0.0
2024,d,a,11505,57237,0.020458794136659852,0.00027953945874172303
2024,e,a,791,3955,0.017446270543615677,0.0
2024,f,a,35730,178650,0.01602015113350126,0.0001959137979289113
2025,1,a,131813,659065,0.02026810709110634,0.0003869117613588948
2025,2,a,74823,374115,0.015423065100303383,9.890007083383452e-05
2025,3,a,6237,31185,0.014686548019881352,9.62000962000962e-05
2025,c,a,313,1562,0.019206145966709345,0.0
2025,d,a,10590,52818,0.019425195955924117,9.466469764095573e-05
2025,e,a,717,3573,0.01651273439686538,0.0
2025,f,a,35900,179500,0.015966573816155988,0.0002506963788300836
2026,1,a,86544,432720,0.01992512479201331,0.0002934923276021446
2026,2,a,49041,245205,0.015603270732652271,0.00013050304846964786
2026,3,a,4632,23160,0.014075993091537132,8.635578583765112e-05
2026,c,a,502,2507,0.019146390107698443,0.0007977662544874351
2026,d,a,7690,38309,0.01942102378031272,0.00020882821269153462
2026,e,a,646,3230,0.019195046439628483,0.0006191950464396285
2026,f,a,24010,120050,0.015618492294877134,0.00024156601416076633
2026,f,h,158,1920,0.015625,0.0
2026,g,a,63,315,0.009523809523809525,0.0
