previous_status,next_status,previous_position,finality,era,n,probability
VALID,DNS,2,final,2020+,12,8.459044128013535e-05
VALID,DNS,2,final,pre2010,2,0.00047551117451260106
VALID,DNS,2,nonfinal,2010-2019,97,0.0001639150345573449
VALID,DNS,2,nonfinal,2020+,47,4.7794244759411906e-05
VALID,DNS,2,nonfinal,pre2010,43,0.0019059438854660698
VALID,DNS,3,final,2010-2019,6,8.087016295337835e-05
VALID,DNS,3,final,2020+,13,9.173664526144943e-05
VALID,DNS,3,nonfinal,2010-2019,91,0.0001538890814851142
VALID,DNS,3,nonfinal,2020+,57,5.7980980204072705e-05
VALID,DNS,3,nonfinal,pre2010,13,0.0006446494098978478
VALID,DNS,4,final,2010-2019,8,0.00010793890657887635
VALID,DNS,4,final,2020+,20,0.00014131279587366636
VALID,DNS,4,final,pre2010,2,0.00047744091668656003
VALID,DNS,4,nonfinal,2010-2019,160,0.00027050742120203356
VALID,DNS,4,nonfinal,2020+,185,0.00018813259585355758
VALID,DNS,4,nonfinal,pre2010,12,0.0005947660586835844
VALID,VALID,1,final,2010-2019,73269,0.9861238223418574
VALID,VALID,1,final,2020+,140025,0.986577890509406
VALID,VALID,1,final,pre2010,4160,0.9860156435174212
VALID,VALID,1,nonfinal,2010-2019,579390,0.9771741403620026
VALID,VALID,1,nonfinal,2020+,966327,0.9818700021337777
VALID,VALID,1,nonfinal,pre2010,22852,0.9752475247524752
VALID,VALID,2,final,2010-2019,73181,0.9854699703743603
VALID,VALID,2,final,2020+,139862,0.9859156915268574
VALID,VALID,2,final,pre2010,4149,0.9864479315263909
VALID,VALID,2,nonfinal,2010-2019,578771,0.9780336955235986
VALID,VALID,2,nonfinal,2020+,965325,0.9816378579229638
VALID,VALID,2,nonfinal,pre2010,21967,0.9736713798147245
VALID,VALID,3,final,2010-2019,73062,0.9847559742832882
VALID,VALID,3,final,2020+,139593,0.985061040152424
VALID,VALID,3,final,pre2010,4134,0.9878136200716846
VALID,VALID,3,nonfinal,2010-2019,578616,0.9784910414570421
VALID,VALID,3,nonfinal,2020+,965470,0.9820859115372995
VALID,VALID,3,nonfinal,pre2010,19713,0.9775364474858673
VALID,VALID,4,final,2010-2019,72645,0.9801527335528091
VALID,VALID,4,final,2020+,138649,0.9796438917543984
VALID,VALID,4,final,pre2010,4098,0.9782764382907615
VALID,VALID,4,nonfinal,2010-2019,577539,0.9764286595850078
VALID,VALID,4,nonfinal,2020+,962563,0.9788620316896646
VALID,VALID,4,nonfinal,pre2010,19634,0.9731363996827914
VALID,VALID,5,final,2020+,98,1.0
VALID,VALID,6,final,2020+,91,1.0
VALID,VALID,7,final,2020+,82,0.9879518072289156
VALID,VALID,8,final,2020+,76,0.9743589743589743
VALID,VALID,9,final,2020+,69,0.971830985915493
VALID,VALID,10,final,2020+,67,0.9710144927536232
VALID,VALID,11,final,2020+,66,1.0
VALID,VALID,12,final,2020+,66,0.9705882352941176
VALID,VALID,13,final,2020+,64,1.0
VALID,VALID,14,final,2020+,63,1.0
VALID,VALID,15,final,2020+,56,0.9824561403508771
VALID,VALID,16,final,2020+,51,0.9622641509433962
VALID,VALID,17,final,2020+,47,0.9791666666666666
VALID,VALID,18,final,2020+,44,1.0
VALID,VALID,19,final,2020+,42,1.0
VALID,VALID,20,final,2020+,36,0.9473684210526315
VALID,VALID,21,final,2020+,30,1.0
VALID,VALID,22,final,2020+,26,0.9285714285714286
VALID,VALID,23,final,2020+,23,1.0
VALID,VALID,24,final,2020+,19,1.0
VALID,VALID,25,final,2020+,18,1.0
VALID,VALID,26,final,2020+,16,0.9411764705882353
VALID,VALID,27,final,2020+,10,1.0
VALID,VALID,28,final,2020+,7,1.0
VALID,VALID,29,final,2020+,3,0.75
VALID,VALID,30,final,2020+,2,1.0
VALID,VALID,31,final,2020+,1,1.0
VALID,VALID,32,final,2020+,1,1.0
VALID,VALID,33,final,2020+,1,1.0
VALID,VALID,34,final,2020+,1,1.0
VALID,VALID,35,final,2020+,1,1.0
VALID,VALID,36,final,2020+,1,1.0
VALID,VALID,37,final,2020+,1,1.0
